corp_code,corp_name,stock_code,year,avg_revenue_last_3y,total_assets,revenue,operating_income,net_income,total_assets_statement,total_liabilities,total_equity,created_at
00110884,엠젠솔루션,032790,2023,57718654030.0,71423793062,20695565944.0,-4886323753.0,-21492769083.0,67289023061.0,30301695050.0,36987328011.0,2026-05-26
00110884,엠젠솔루션,032790,2024,57718654030.0,71423793062,42669219445.0,-3981821115.0,2859991080.0,71423793062.0,27303137349.0,44120655713.0,2026-05-26
00116408,동신건설,025950,2022,67338888880.7,112636041341,50301558593.0,1366400188.0,6068916666.0,113286670980.0,23709113847.0,89577557133.0,2026-05-26
00116408,동신건설,025950,2023,67338888880.7,112636041341,82743779233.0,6340785950.0,7825488098.0,117893491447.0,21195938366.0,96697553081.0,2026-05-26
00116408,동신건설,025950,2024,67338888880.7,112636041341,68971328816.0,585892436.0,3001432622.0,112636041341.0,13919787688.0,98716253653.0,2026-05-26
00116426,이렘,009730,2022,84408292489.7,130328701520,66612579112.0,1987489985.0,2915877037.0,45517291415.0,17593273649.0,27924017766.0,2026-05-26
00116426,이렘,009730,2023,84408292489.7,130328701520,76780298502.0,979218394.0,95378578.0,61128754888.0,23034597137.0,38094157751.0,2026-05-26
00116426,이렘,009730,2024,84408292489.7,130328701520,109831999855.0,-4723456766.0,-14898026363.0,130328701520.0,77665410950.0,52663290570.0,2026-05-26
00117276,네이처셀,007390,2022,24312271121.3,71997508759,21252018179.0,-8913289852.0,-6813585338.0,94021004319.0,36862832477.0,57158171842.0,2026-05-26
00117276,네이처셀,007390,2023,24312271121.3,71997508759,19350887029.0,-10272984987.0,-11680328640.0,68398678569.0,6979490237.0,61419188332.0,2026-05-26
00117276,네이처셀,007390,2024,24312271121.3,71997508759,32333908156.0,597518893.0,1226158108.0,71997508759.0,7373108088.0,64624400671.0,2026-05-26
00120289,제이에스티나,026040,2022,75892303260.0,50660994202,77880466417.0,2580912695.0,1307771554.0,59186700308.0,12641518166.0,46545182142.0,2026-05-26
00120289,제이에스티나,026040,2023,75892303260.0,50660994202,75362474833.0,-582699119.0,792213904.0,54581404067.0,11354771469.0,43226632598.0,2026-05-26
