통계표,업종코드,기업규모,계정항목,단위,변환,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","A01 농업","종합","총자산증가율","%","원자료","19.54","8.79","10.44","18.62","11.27","14.00","12.10","9.17","8.33","12.89","9.01","4.74","4.87"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","A01 농업","종합","유형자산증가율","%","원자료","22.02","8.55","12.40","20.87","8.81","13.78","13.62","9.72","7.68","12.05","8.31","5.13","4.11"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","A01 농업","종합","유동자산증가율","%","원자료","16.35","10.07","7.57","13.00","13.88","13.88","7.33","9.27","9.55","15.89","9.37","4.29","5.79"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","A01 농업","종합","재고자산증가율","%","원자료","33.18","14.30","-0.74","7.47","7.73","4.23","13.57","13.88","10.35","12.13","14.38","3.30","2.44"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","A01 농업","종합","자기자본증가율","%","원자료","5.42","0.48","14.21","23.62","15.69","16.32","8.93","1.14","3.46","14.13","8.97","1.30","3.34"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","A01 농업","종합","매출액증가율","%","원자료","10.23","14.20","7.96","14.65","5.96","10.27","2.48","4.99","11.03","17.64","12.31","4.53","5.38"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","A01 농업","대기업_중견","총자산증가율","%","원자료","","","","","","20.01","9.88","7.29","4.25","-2.28","6.32","-0.96","5.92"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","A01 농업","대기업_중견","유형자산증가율","%","원자료","","","","","","19.48","10.69","5.26","-6.94","-3.66","8.53","3.12","11.35"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","A01 농업","대기업_중견","유동자산증가율","%","원자료","","","","","","27.04","1.82","9.11","24.39","-0.40","13.94","-2.02","-0.21"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","A01 농업","대기업_중견","재고자산증가율","%","원자료","","","","","","22.42","7.04","28.39","37.81","9.79","12.55","-2.06","3.42"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","A01 농업","대기업_중견","자기자본증가율","%","원자료","","","","","","27.44","5.61","-2.73","3.71","3.46","9.11","-6.18","4.62"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","A01 농업","대기업_중견","매출액증가율","%","원자료","","","","","","15.23","12.95","6.98","8.06","11.02","12.48","4.89","2.19"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","A01 농업","중소기업","총자산증가율","%","원자료","19.63","9.36","10.74","16.37","11.40","14.28","11.21","10.04","9.35","15.49","9.39","5.63","4.76"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","A01 농업","중소기업","유형자산증가율","%","원자료","23.01","8.31","12.94","18.11","8.29","14.77","13.31","10.85","9.01","14.26","8.23","5.66","4.46"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","A01 농업","중소기업","유동자산증가율","%","원자료","16.82","12.09","7.19","11.85","15.61","13.13","6.81","9.92","8.95","18.24","8.65","5.05","4.74"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","A01 농업","중소기업","재고자산증가율","%","원자료","34.37","15.01","-0.99","3.49","9.77","5.22","10.45","12.43","8.60","13.51","12.06","7.20","1.59"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","A01 농업","중소기업","자기자본증가율","%","원자료","4.54","0.34","15.31","22.32","15.57","15.70","6.26","2.65","3.49","16.48","9.39","3.24","3.33"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","A01 농업","중소기업","매출액증가율","%","원자료","10.83","15.62","8.03","14.88","4.29","9.79","1.87","5.68","10.83","19.60","12.47","4.81","4.57"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","A01 농업","중기업","총자산증가율","%","원자료","","","","","","7.54","7.42","3.12","0.60","17.27","7.41","5.49","6.56"
