"근채류시설재배계",131.4,14.6,93.5,10.7,75.3,8,81.8,18,60.4,10.4
"무",131.4,14.6,93.5,10.7,75.3,8,81.8,18,60.4,10.4
"조미채소",88.7,3409.8,106.2,5106.3,85.1,3891.6,86,4365.9,88.9,4161.2
"고추(건)",77.9,772.6,120.3,1368.8,89.5,960.9,80,1058.5,88.3,1004
"마늘",102.9,969.3,87.4,1294.9,77.2,1297,90.1,1144.3,80.7,991
"파",91.2,554.1,107.6,951.3,97.9,572.9,99.1,760,114.7,913.2
"양파",80.8,943.9,109,1357.6,82.7,983.9,81.1,1223.3,81.3,1094.2
"생강",102.5,170,116.4,133.7,71.9,76.9,74.2,179.7,89.5,158.9
"양채류",103.4,194.9,96.6,186.4,104.3,219.1,113.1,256.7,101.3,248.4
"과실",93.6,5199.5,101.5,6026.5,107.9,6273.1,94.6,6525.2,100,7783.3
"사과",85.9,1087.4,105.1,1334.7,115.3,1345.5,80.3,1365.5,93.7,2120.1
"배",73.2,276.6,116.1,629.2,138.6,549.6,101.4,407.9,98.5,756.6
"복숭아",95.9,588.2,97.4,738.4,97,753.4,92.8,856.5,98.8,971.5
"포도",99.5,1364.8,100.8,1285.6,113.2,1515.3,117.4,1344.2,129.8,1416.8
"감귤",102.7,989.6,99.1,1065,95.2,1093,94.7,1454.9,86.8,1381.4
"자두",99.1,176.8,99.6,182.7,103.8,193.2,96.2,245.2,95.9,177.7
"매실",102.8,89.9,77.4,55.2,78.8,62.1,67.3,52.6,61.2,64.1
"유자",127.4,31.9,105.5,28.4,108.3,37.8,115.9,52.5,158,95.2
"참다래",95.4,75.6,93.8,86.2,97.6,94.2,110,93.1,113.3,108.5
"무화과",111.8,33.2,84,31.5,69,23.9,74.2,34.9,118.1,46.1
"블루베리",98.8,160.8,102,179.6,110,211.4,102.8,211.6,105.9,221.7
"살구",-,-,-,-,98,5.3,105.4,5.8,112.2,7.1
"체리",-,-,-,-,109.7,17.4,112,15.5,134.8,17
"감류",91.6,324.8,95.4,410,102.2,371,86,384.9,94.9,399.5
"단감",93.9,188.9,105,279.2,109.1,227.4,88.8,248.4,97.6,248.1
"감(떫은감)",88.1,136,81,130.8,91.7,143.6,81.9,136.5,90.8,151.4
"특용작물",88.1,670.4,101.9,1028.8,113.6,1094.2,107.1,943.1,99.9,868
"유지작물",87.2,609.4,103.2,975.1,115.8,1040.5,107.6,880.3,100.9,812.7
