통계표,업종코드,기업규모,계정항목,단위,변환,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"5.1.3.1. 자산/자본 지표(제11차 한국표준산업분류, 2009~)","전산업","중소기업","현금비율","%","원자료","14.90","16.88","17.40","20.71","22.25","23.09","23.57","25.14","28.94","29.61","25.07","23.11","23.58"
"5.1.3.1. 자산/자본 지표(제11차 한국표준산업분류, 2009~)","전산업","중소기업","비유동비율","%","원자료","139.28","137.29","139.21","135.00","130.90","121.62","122.24","122.04","124.88","124.39","126.51","128.12","130.23"
"5.1.3.1. 자산/자본 지표(제11차 한국표준산업분류, 2009~)","전산업","중소기업","비유동장기적합률","%","원자료","84.81","83.66","82.00","79.03","77.62","75.67","75.52","73.83","73.31","72.13","73.22","76.07","77.71"
"5.1.3.1. 자산/자본 지표(제11차 한국표준산업분류, 2009~)","전산업","중소기업","부채비율","%","원자료","197.95","187.54","193.56","187.70","181.27","163.18","159.49","161.93","166.33","169.12","171.27","166.85","162.65"
"5.1.3.1. 자산/자본 지표(제11차 한국표준산업분류, 2009~)","전산업","중소기업","유동부채비율","%","원자료","133.72","123.44","123.80","116.88","112.63","102.45","97.63","96.63","95.99","96.68","98.49","98.43","95.06"
"5.1.3.1. 자산/자본 지표(제11차 한국표준산업분류, 2009~)","전산업","중소기업","비유동부채비율","%","원자료","64.23","64.10","69.76","70.83","68.64","60.73","61.86","65.30","70.34","72.44","72.79","68.42","67.59"
"5.1.3.1. 자산/자본 지표(제11차 한국표준산업분류, 2009~)","전산업","중소기업","차입금의존도","%","원자료","36.05","35.58","39.24","39.83","39.23","37.55","38.23","38.83","40.23","41.23","42.07","41.68","41.10"
"5.1.3.1. 자산/자본 지표(제11차 한국표준산업분류, 2009~)","전산업","중소기업","차입금대매출액","%","원자료","31.71","32.28","34.98","36.27","36.81","35.90","37.73","40.47","44.84","45.52","46.97","50.99","53.23"
"5.1.3.1. 자산/자본 지표(제11차 한국표준산업분류, 2009~)","전산업","중소기업","매출채권대매입채무","%","원자료","174.85","179.70","191.95","196.44","195.04","198.88","204.11","207.50","209.52","206.44","205.67","209.73","208.94"
"5.1.3.1. 자산/자본 지표(제11차 한국표준산업분류, 2009~)","전산업","중소기업","순운전자본대총자본","%","원자료","8.38","9.32","10.41","12.45","13.42","14.86","15.27","16.52","17.07","17.85","17.06","15.10","14.22"
"5.1.3.1. 자산/자본 지표(제11차 한국표준산업분류, 2009~)","전산업","중기업","자기자본비율","%","원자료","","","","","","43.15","44.09","43.90","44.23","44.81","44.72","45.66","45.98"
"5.1.3.1. 자산/자본 지표(제11차 한국표준산업분류, 2009~)","전산업","중기업","유동비율","%","원자료","","","","","","140.70","143.40","146.78","148.95","151.01","147.54","142.65","140.13"
"5.1.3.1. 자산/자본 지표(제11차 한국표준산업분류, 2009~)","전산업","중기업","당좌비율","%","원자료","","","","","","103.94","105.86","108.27","110.67","111.40","108.12","105.77","104.61"
"5.1.3.1. 자산/자본 지표(제11차 한국표준산업분류, 2009~)","전산업","중기업","현금비율","%","원자료","","","","","","23.61","24.26","26.17","31.25","31.78","27.20","25.52","26.38"
"5.1.3.1. 자산/자본 지표(제11차 한국표준산업분류, 2009~)","전산업","중기업","비유동비율","%","원자료","","","","","","108.49","108.46","107.67","108.40","106.27","106.56","107.21","110.68"
"5.1.3.1. 자산/자본 지표(제11차 한국표준산업분류, 2009~)","전산업","중기업","비유동장기적합률","%","원자료","","","","","","75.26","75.18","73.77","73.71","72.91","73.86","76.23","78.35"
"5.1.3.1. 자산/자본 지표(제11차 한국표준산업분류, 2009~)","전산업","중기업","부채비율","%","원자료","","","","","","131.77","126.79","127.81","126.07","123.19","123.63","119.01","117.49"
"5.1.3.1. 자산/자본 지표(제11차 한국표준산업분류, 2009~)","전산업","중기업","유동부채비율","%","원자료","","","","","","87.61","82.52","81.85","79.00","77.42","79.35","78.37","76.22"
"5.1.3.1. 자산/자본 지표(제11차 한국표준산업분류, 2009~)","전산업","중기업","비유동부채비율","%","원자료","","","","","","44.15","44.27","45.96","47.07","45.77","44.28","40.64","41.27"
"5.1.3.1. 자산/자본 지표(제11차 한국표준산업분류, 2009~)","전산업","중기업","차입금의존도","%","원자료","","","","","","31.26","31.54","31.84","32.35","32.13","32.28","32.00","32.05"
"5.1.3.1. 자산/자본 지표(제11차 한국표준산업분류, 2009~)","전산업","중기업","차입금대매출액","%","원자료","","","","","","25.17","26.41","27.92","29.97","28.50","27.86","29.90","31.48"
"5.1.3.1. 자산/자본 지표(제11차 한국표준산업분류, 2009~)","전산업","중기업","매출채권대매입채무","%","원자료","","","","","","187.65","194.73","199.62","200.68","197.13","194.58","200.05","198.93"
"5.1.3.1. 자산/자본 지표(제11차 한국표준산업분류, 2009~)","전산업","중기업","순운전자본대총자본","%","원자료","","","","","","15.39","15.79","16.81","17.11","17.69","16.87","15.26","14.06"
"5.1.3.1. 자산/자본 지표(제11차 한국표준산업분류, 2009~)","전산업","소기업","자기자본비율","%","원자료","","","","","","33.40","33.61","33.09","32.05","31.38","30.99","31.11","31.77"
"5.1.3.1. 자산/자본 지표(제11차 한국표준산업분류, 2009~)","전산업","소기업","유동비율","%","원자료","","","","","","136.03","138.23","143.07","146.14","148.77","146.60","139.68","138.68"
"5.1.3.1. 자산/자본 지표(제11차 한국표준산업분류, 2009~)","전산업","소기업","당좌비율","%","원자료","","","","","","96.91","97.68","98.14","99.32","99.02","96.00","92.44","91.56"
"5.1.3.1. 자산/자본 지표(제11차 한국표준산업분류, 2009~)","전산업","소기업","현금비율","%","원자료","","","","","","22.65","22.99","24.27","27.14","28.06","23.54","21.32","21.47"
"5.1.3.1. 자산/자본 지표(제11차 한국표준산업분류, 2009~)","전산업","소기업","비유동비율","%","원자료","","","","","","136.77","138.27","139.00","143.59","143.93","148.02","152.00","152.80"
"5.1.3.1. 자산/자본 지표(제11차 한국표준산업분류, 2009~)","전산업","소기업","비유동장기적합률","%","원자료","","","","","","76.05","75.84","73.88","72.97","71.53","72.73","75.94","77.18"
"5.1.3.1. 자산/자본 지표(제11차 한국표준산업분류, 2009~)","전산업","소기업","부채비율","%","원자료","","","","","","199.43","197.51","202.22","212.05","218.69","222.66","221.49","214.79"
"5.1.3.1. 자산/자본 지표(제11차 한국표준산업분류, 2009~)","전산업","소기업","유동부채비율","%","원자료","","","","","","119.57","115.20","114.08","115.28","117.47","119.13","121.34","116.81"
"5.1.3.1. 자산/자본 지표(제11차 한국표준산업분류, 2009~)","전산업","소기업","비유동부채비율","%","원자료","","","","","","79.86","82.31","88.13","96.78","101.22","103.53","100.15","97.98"
"5.1.3.1. 자산/자본 지표(제11차 한국표준산업분류, 2009~)","전산업","소기업","차입금의존도","%","원자료","","","","","","43.17","44.15","45.05","46.71","48.11","49.40","49.21","48.32"
"5.1.3.1. 자산/자본 지표(제11차 한국표준산업분류, 2009~)","전산업","소기업","차입금대매출액","%","원자료","","","","","","50.15","52.88","58.06","64.67","67.67","73.05","80.48","84.51"
"5.1.3.1. 자산/자본 지표(제11차 한국표준산업분류, 2009~)","전산업","소기업","매출채권대매입채무","%","원자료","","","","","","213.59","216.09","217.96","220.74","217.92","220.07","222.58","222.32"
